datetime_utc,latitude_deg,longitude_deg,temp_c_raw,temp_c_calibrated,deployment_state,qc_flag
2024-09-06T15:51:00Z,,,21.52249755859375,21.54549755859375,pre_water,1
2024-09-06T15:52:00Z,,,21.60829833984375,21.63129833984375,pre_water,1
2024-09-06T15:53:00Z,,,21.5975732421875,21.6205732421875,pre_water,1
2024-09-06T15:54:00Z,,,21.74772460937499,21.77072460937499,pre_water,1
2024-09-06T15:55:00Z,,,21.640473632812494,21.663473632812494,pre_water,1
2024-09-06T15:56:00Z,,,21.29727050781249,21.32027050781249,pre_water,1
2024-09-06T15:57:00Z,,,21.007692871093745,21.030692871093745,pre_water,1
2024-09-06T15:58:00Z,,,20.728840332031247,20.751840332031247,pre_water,1
2024-09-06T15:59:00Z,,,20.482163085937493,20.505163085937493,pre_water,1
2024-09-06T16:00:00Z,,,20.299836425781244,20.322836425781244,pre_water,1
2024-09-06T16:01:00Z,,,20.192585449218747,20.215585449218747,pre_water,1
2024-09-06T16:02:00Z,,,20.149685058593754,20.172685058593753,pre_water,1
2024-09-06T16:03:00Z,,,20.13895996093749,20.16195996093749,pre_water,1
2024-09-06T16:04:00Z,,,20.128234863281243,20.151234863281243,pre_water,1
2024-09-06T16:05:00Z,,,20.13895996093749,20.16195996093749,pre_water,1
2024-09-06T16:06:00Z,,,20.13895996093749,20.16195996093749,pre_water,1
2024-09-06T16:07:00Z,,,20.149685058593754,20.172685058593753,pre_water,1
2024-09-06T16:08:00Z,,,20.149685058593754,20.172685058593753,pre_water,1
2024-09-06T16:09:00Z,,,20.149685058593754,20.172685058593753,pre_water,1
2024-09-06T16:10:00Z,,,20.17113525390625,20.19413525390625,pre_water,1
2024-09-06T16:11:00Z,,,20.214035644531243,20.237035644531243,pre_water,1
2024-09-06T16:12:00Z,,,20.2676611328125,20.2906611328125,pre_water,1
2024-09-06T16:13:00Z,,,20.321286621093755,20.344286621093755,pre_water,1
2024-09-06T16:14:00Z,,,20.396362304687493,20.419362304687493,pre_water,1
2024-09-06T16:15:00Z,,,20.482163085937493,20.505163085937493,pre_water,1
2024-09-06T16:16:00Z,,,20.589414062500005,20.612414062500005,pre_water,1
2024-09-06T16:17:00Z,,,20.685939941406254,20.708939941406253,pre_water,1
2024-09-06T16:18:00Z,,,20.76101562499999,20.78401562499999,pre_water,1
2024-09-06T16:19:00Z,,,20.836091308593744,20.859091308593744,pre_water,1
2024-09-06T16:20:00Z,,,20.932617187499993,20.955617187499993,pre_water,1
2024-09-06T16:21:00Z,,,21.007692871093745,21.030692871093745,pre_water,1
2024-09-06T16:22:00Z,,,21.039868164062504,21.062868164062504,pre_water,1
2024-09-06T16:23:00Z,,,21.093493652343746,21.116493652343745,pre_water,1
2024-09-06T16:24:00Z,,,21.114943847656242,21.137943847656242,pre_water,1
2024-09-06T16:25:00Z,,,21.093493652343746,21.116493652343745,pre_water,1
2024-09-06T16:26:00Z,,,21.050593261718753,21.073593261718752,pre_water,1
2024-09-06T16:27:00Z,,,20.975517578125,20.998517578125,pre_water,1
2024-09-06T16:28:00Z,,,20.900441894531248,20.923441894531248,pre_water,1
2024-09-06T16:29:00Z,,,20.825366210937496,20.848366210937495,pre_water,1
2024-09-06T16:30:00Z,,,20.718115234375,20.741115234375,pre_water,1
2024-09-06T16:31:00Z,,,20.578688964843742,20.601688964843742,pre_water,1
2024-09-06T16:32:00Z,,,20.40708740234374,20.43008740234374,pre_water,1
2024-09-06T16:33:00Z,,,20.22476074218749,20.24776074218749,pre_water,1
2024-09-06T16:34:00Z,,,20.063884277343753,20.086884277343753,pre_water,1
2024-09-06T16:35:00Z,,,19.95663330078124,19.97963330078124,pre_water,1
2024-09-06T16:36:00Z,,,19.892282714843752,19.91528271484375,pre_water,1
2024-09-06T16:37:00Z,,,19.849382324218745,19.872382324218744,pre_water,1
2024-09-06T16:38:00Z,,,19.827932128906248,19.850932128906248,pre_water,1
2024-09-06T16:39:00Z,,,19.827932128906248,19.850932128906248,pre_water,1
2024-09-06T16:40:00Z,,,19.849382324218745,19.872382324218744,pre_water,1
2024-09-06T16:41:00Z,,,19.87083251953124,19.89383251953124,pre_water,1
2024-09-06T16:42:00Z,,,19.881557617187504,19.904557617187503,pre_water,1
2024-09-06T16:43:00Z,,,19.91373291015625,19.93673291015625,pre_water,1
2024-09-06T16:44:00Z,,,19.935183105468745,19.958183105468745,pre_water,1
2024-09-06T16:45:00Z,,,19.967358398437504,19.990358398437504,pre_water,1
2024-09-06T16:46:00Z,,,19.99953369140625,20.02253369140625,pre_water,1
2024-09-06T16:47:00Z,,,20.010258789062497,20.033258789062497,pre_water,1
2024-09-06T16:48:00Z,,,20.053159179687505,20.076159179687505,pre_water,1
2024-09-06T16:49:00Z,,,20.117509765624995,20.140509765624994,pre_water,1
2024-09-06T16:50:00Z,,,20.149685058593754,20.172685058593753,pre_water,1
2024-09-06T16:51:00Z,,,20.160410156250002,20.18341015625,pre_water,1
2024-09-06T16:52:00Z,,,20.160410156250002,20.18341015625,pre_water,1
2024-09-06T16:53:00Z,,,20.160410156250002,20.18341015625,pre_water,1
2024-09-06T16:54:00Z,,,20.17113525390625,20.19413525390625,pre_water,1
2024-09-06T16:55:00Z,,,20.160410156250002,20.18341015625,pre_water,1
2024-09-06T16:56:00Z,,,20.13895996093749,20.16195996093749,pre_water,1
2024-09-06T16:57:00Z,,,20.299836425781244,20.322836425781244,pre_water,1
2024-09-06T16:58:00Z,,,20.428537597656252,20.45153759765625,pre_water,1
2024-09-06T16:59:00Z,,,20.567963867187494,20.590963867187494,pre_water,1
2024-09-06T17:00:00Z,,,20.600139160156253,20.623139160156253,pre_water,1
2024-09-06T17:01:00Z,,,20.385637207031245,20.408637207031244,pre_water,1
2024-09-06T17:02:00Z,,,20.235485839843754,20.258485839843754,pre_water,1
2024-09-06T17:03:00Z,,,20.106784667968746,20.129784667968746,pre_water,1
2024-09-06T17:04:00Z,,,19.967358398437504,19.990358398437504,pre_water,1
2024-09-06T17:05:00Z,,,19.91373291015625,19.93673291015625,pre_water,1
2024-09-06T17:06:00Z,,,19.860107421874993,19.883107421874993,pre_water,1
2024-09-06T17:07:00Z,,,19.795756835937503,19.818756835937503,pre_water,1
2024-09-06T17:08:00Z,,,19.935183105468745,19.958183105468745,pre_water,1
2024-09-06T17:09:00Z,,,19.87083251953124,19.89383251953124,pre_water,1
2024-09-06T17:10:00Z,,,19.431103515625004,19.454103515625004,pre_water,1
2024-09-06T17:11:00Z,,,16.942880859374995,16.965880859374995,pre_water,1
2024-09-06T17:12:00Z,,,15.001638183593748,15.024638183593748,pre_water,1
2024-09-06T17:13:00Z,,,13.725351562499995,13.748351562499995,pre_water,1
2024-09-06T17:14:00Z,,,12.8887939453125,12.9117939453125,pre_water,1
2024-09-06T17:15:00Z,,,12.309638671875,12.332638671875,pre_water,1
2024-09-06T17:16:00Z,,,11.912810058593749,11.935810058593749,pre_water,1
2024-09-06T17:17:00Z,,,11.63395751953125,11.65695751953125,pre_water,1
2024-09-06T17:18:00Z,,,11.451630859375001,11.474630859375,pre_water,1
2024-09-06T17:19:00Z,,,11.312204589843745,11.335204589843745,pre_water,1
2024-09-06T17:20:00Z,,,11.215678710937496,11.238678710937496,pre_water,1
2024-09-06T17:21:00Z,,,11.162053222656247,11.185053222656247,pre_water,1
2024-09-06T17:22:00Z,48.741843,-125.46441,11.129877929687495,11.152877929687495,in_water,1
2024-09-06T17:23:00Z,48.741615,-125.464908,11.09770263671875,11.12070263671875,in_water,1
2024-09-06T17:24:00Z,48.741387,-125.465406,11.065527343749999,11.088527343749998,in_water,1
2024-09-06T17:25:00Z,48.741174,-125.465874,11.065527343749999,11.088527343749998,in_water,1
2024-09-06T17:26:00Z,48.740966,-125.466332,11.065527343749999,11.088527343749998,in_water,1
2024-09-06T17:27:00Z,48.740758,-125.46679,11.076252441406247,11.099252441406247,in_water,1
2024-09-06T17:28:00Z,48.74055,-125.467248,11.108427734374999,11.131427734374999,in_water,1
2024-09-06T17:29:00Z,48.740342,-125.467706,11.151328125,11.174328124999999,in_water,1
2024-09-06T17:30:00Z,48.740128,-125.468168,11.194228515625,11.217228515625,in_water,1
2024-09-06T17:31:00Z,48.739912,-125.468632,11.183503417968751,11.20650341796875,in_water,1
2024-09-06T17:32:00Z,48.739696,-125.469096,11.204953613281248,11.227953613281247,in_water,1
2024-09-06T17:33:00Z,48.73948,-125.46956,11.194228515625,11.217228515625,in_water,1
2024-09-06T17:34:00Z,48.739264,-125.470024,11.172778320312496,11.195778320312495,in_water,1
2024-09-06T17:35:00Z,48.739052,-125.470485,11.151328125,11.174328124999999,in_water,1
2024-09-06T17:36:00Z,48.738842,-125.470945,11.119152832031247,11.142152832031247,in_water,1
2024-09-06T17:37:00Z,48.738632,-125.471405,11.086977539062495,11.109977539062495,in_water,1
2024-09-06T17:38:00Z,48.738422,-125.471865,11.065527343749999,11.088527343749998,in_water,1
2024-09-06T17:39:00Z,48.738212,-125.472325,11.05480224609375,11.07780224609375,in_water,1
2024-09-06T17:40:00Z,48.737992,-125.472791,11.044077148437495,11.067077148437495,in_water,1
2024-09-06T17:41:00Z,48.737768,-125.473259,11.033352050781247,11.056352050781246,in_water,1
2024-09-06T17:42:00Z,48.737544,-125.473727,11.044077148437495,11.067077148437495,in_water,1
2024-09-06T17:43:00Z,48.73732,-125.474195,11.044077148437495,11.067077148437495,in_water,1
2024-09-06T17:44:00Z,48.737096,-125.474663,11.044077148437495,11.067077148437495,in_water,1
2024-09-06T17:45:00Z,48.73688,-125.47512,11.076252441406247,11.099252441406247,in_water,1
2024-09-06T17:46:00Z,48.736666,-125.475574,11.076252441406247,11.099252441406247,in_water,1
2024-09-06T17:47:00Z,48.736452,-125.476028,11.108427734374999,11.131427734374999,in_water,1
2024-09-06T17:48:00Z,48.736238,-125.476482,11.247854003906248,11.270854003906248,in_water,1
2024-09-06T17:49:00Z,48.736024,-125.476937,11.398005371093745,11.421005371093745,in_water,1
2024-09-06T17:50:00Z,48.735811,-125.477396,11.483806152343746,11.506806152343746,in_water,1
2024-09-06T17:51:00Z,48.735599,-125.477858,11.526706542968746,11.549706542968746,in_water,1
2024-09-06T17:52:00Z,48.735387,-125.47832,11.526706542968746,11.549706542968746,in_water,1
2024-09-06T17:53:00Z,48.735175,-125.478782,11.537431640625002,11.560431640625001,in_water,1
2024-09-06T17:54:00Z,48.734963,-125.479244,11.54815673828125,11.57115673828125,in_water,1
2024-09-06T17:55:00Z,48.734754,-125.479681,11.580332031249995,11.603332031249995,in_water,1
2024-09-06T17:56:00Z,48.734546,-125.480109,11.558881835937498,11.581881835937498,in_water,1
2024-09-06T17:57:00Z,48.734338,-125.480537,11.515981445312498,11.538981445312498,in_water,1
2024-09-06T17:58:00Z,48.73413,-125.480965,11.526706542968746,11.549706542968746,in_water,1
2024-09-06T17:59:00Z,48.733922,-125.481393,11.494531250000001,11.517531250000001,in_water,1
2024-09-06T18:00:00Z,48.73371,-125.481862,11.451630859375001,11.474630859375,in_water,1
2024-09-06T18:01:00Z,48.733496,-125.482344,11.451630859375001,11.474630859375,in_water,1
2024-09-06T18:02:00Z,48.733282,-125.482825,11.46235595703125,11.48535595703125,in_water,1
2024-09-06T18:03:00Z,48.733068,-125.483308,11.483806152343746,11.506806152343746,in_water,1
2024-09-06T18:04:00Z,48.732854,-125.48379,11.50525634765625,11.52825634765625,in_water,1
2024-09-06T18:05:00Z,48.732634,-125.484267,11.515981445312498,11.538981445312498,in_water,1
2024-09-06T18:06:00Z,48.732412,-125.484743,11.526706542968746,11.549706542968746,in_water,1
2024-09-06T18:07:00Z,48.73219,-125.485219,11.50525634765625,11.52825634765625,in_water,1
2024-09-06T18:08:00Z,48.731967,-125.485695,11.50525634765625,11.52825634765625,in_water,1
2024-09-06T18:09:00Z,48.731746,-125.486171,11.46235595703125,11.48535595703125,in_water,1
